FIFA_name	FIFA_short	FIFA_confederation	First_game
Scotland	SCO	UEFA	1872
England	ENG	UEFA	1872
Wales	WAL	UEFA	1876
Northern Ireland	NIR	UEFA	1882
USA	USA	CONCACAF	1885
Canada	CAN	CONCACAF	1885
Uruguay	URU	CONMEBOL	1902
Austria	AUT	UEFA	1902
Argentina	ARG	CONMEBOL	1902
Hungary	HUN	UEFA	1902
Czechoslovakia	TCH	UEFA	1903
Belgium	BEL	UEFA	1904
France	FRA	UEFA	1904
Netherlands	NED	UEFA	1905
Switzerland	SUI	UEFA	1905
Sweden	SWE	UEFA	1908
Germany	GER	UEFA	1908
Norway	NOR	UEFA	1908
Italy	ITA	UEFA	1910
Chile	CHI	CONMEBOL	1910
Finland	FIN	UEFA	1911
Luxembourg	LUX	UEFA	1911
Russia	RUS	UEFA	1912
Denmark	DEN	UEFA	1912
Brazil	BRA	CONMEBOL	1914
Japan	JPN	AFC	1917
Philippines	PHI	AFC	1917
Paraguay	PAR	CONMEBOL	1919
Estonia	EST	UEFA	1920
Costa Rica	CRC	CONCACAF	1921
Guatemala	GUA	CONCACAF	1921
Spain	ESP	UEFA	1921
El Salvador	SLV	CONCACAF	1921
Yugoslavia	YUG	UEFA	1921
Poland	POL	UEFA	1921
Portugal	POR	UEFA	1921
New Zealand	NZL	OFC	1922
Romania	ROU	UEFA	1922
Latvia	LVA	UEFA	1922
Australia	AUS	AFC	1922
China PR	CHN	AFC	1923
Lithuania	LTU	UEFA	1923
Türkiye	TUR	UEFA	1923
Mexico	MEX	CONCACAF	1923
Aruba	ARU	CONCACAF	1924
Egypt	EGY	CAF	1924
Curaçao	CUW	CONCACAF	1924
Bulgaria	BUL	UEFA	1924
South Africa	RSA	CAF	1924
Haiti	HAI	CONCACAF	1925
Jamaica	JAM	CONCACAF	1925
Kenya	KEN	CAF	1926
Bolivia	BOL	CONMEBOL	1926
Republic of Ireland	IRL	UEFA	1926
Uganda	UGA	CAF	1926
Peru	PER	CONMEBOL	1927
Honduras	HON	CONCACAF	1927
Guyana	GUY	CONCACAF	1928
Belarus	BLR	UEFA	1928
Trinidad and Tobago	TRI	CONCACAF	1928
Ukraine	UKR	UEFA	1928
Barbados	BRB	CONCACAF	1929
Nicaragua	NCA	CONCACAF	1929
Greece	GRE	UEFA	1929
Dominica	DMA	CONCACAF	1932
Israel	ISR	UEFA	1934
Suriname	SUR	CONCACAF	1934
Cuba	CUB	CONCACAF	1934
Indonesia	IDN	AFC	1934
Colombia	COL	CONMEBOL	1938
Ecuador	ECU	CONMEBOL	1938
St. Kitts and Nevis	SKN	CONCACAF	1938
St. Lucia	LCA	CONCACAF	1938
Venezuela	VEN	CONMEBOL	1938
Grenada	GRN	CONCACAF	1938
India	IND	AFC	1938
Panama	PAN	CONCACAF	1939
